ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-11-30,37388.48837777012,68099.16547265959,87520.49037812845,37388.48837777012,37388.48837777012,40912.898452382724,40912.898452382724,40912.898452382724,40912.898452382724,40912.898452382724,40912.898452382724,0.0,0.0,0.0,78301.38683015284
2014-12-31,37908.74022225046,61116.17949523052,79704.79336172342,37908.74022225046,37908.74022225046,32082.7785392563,32082.7785392563,32082.7785392563,32082.7785392563,32082.7785392563,32082.7785392563,0.0,0.0,0.0,69991.51876150676
2015-01-31,38428.99206673081,9875.905296255916,28236.3744741834,38428.99206673081,38428.99206673081,-19690.655178827335,-19690.655178827335,-19690.655178827335,-19690.655178827335,-19690.655178827335,-19690.655178827335,0.0,0.0,0.0,18738.336887903475
2015-02-28,38898.89695765828,4354.540839306102,22987.719350334308,38898.89695765828,38898.89695765828,-25018.065134960278,-25018.065134960278,-25018.065134960278,-25018.065134960278,-25018.065134960278,-25018.065134960278,0.0,0.0,0.0,13880.831822698005
2015-03-31,39419.164563472885,40167.4519799876,59096.01585549199,39419.164563472885,39419.164563472885,10179.666774043779,10179.666774043779,10179.666774043779,10179.666774043779,10179.666774043779,10179.666774043779,0.0,0.0,0.0,49598.83133751666
2015-04-30,39922.64934329347,25589.16608925606,43789.63319813953,39922.64934329347,39922.64934329347,-5346.726656499803,-5346.726656499803,-5346.726656499803,-5346.726656499803,-5346.726656499803,-5346.726656499803,0.0,0.0,0.0,34575.92268679367
2015-05-31,40443.86680607199,17533.170452739785,36147.94763741486,40443.86680607199,40443.86680607199,-14056.209310390512,-14056.209310390512,-14056.209310390512,-14056.209310390512,-14056.209310390512,-14056.209310390512,0.0,0.0,0.0,26387.657495681473
2015-06-30,40948.3430225159,21194.463664963332,40133.90563667594,40948.3430225159,40948.3430225159,-9862.354934686242,-9862.354934686242,-9862.354934686242,-9862.354934686242,-9862.354934686242,-9862.354934686242,0.0,0.0,0.0,31085.98808782966
2015-07-31,41469.635112841286,23944.906906493492,43024.11205384057,41469.635112841286,41469.635112841286,-8213.845777635885,-8213.845777635885,-8213.845777635885,-8213.845777635885,-8213.845777635885,-8213.845777635885,0.0,0.0,0.0,33255.7893352054
2015-08-31,41993.24049689217,31565.164457738916,49520.55062471229,41993.24049689217,41993.24049689217,-1328.8433913150654,-1328.8433913150654,-1328.8433913150654,-1328.8433913150654,-1328.8433913150654,-1328.8433913150654,0.0,0.0,0.0,40664.3971055771
2015-09-30,42506.004747031904,67152.81153544335,85560.2722653943,42506.004747031904,42506.004747031904,33985.8847081314,33985.8847081314,33985.8847081314,33985.8847081314,33985.8847081314,33985.8847081314,0.0,0.0,0.0,76491.8894551633
2015-10-31,43035.86113884296,26567.33650337744,45208.00939546485,43035.86113884296,43035.86113884296,-7051.554366184983,-7051.554366184983,-7051.554366184983,-7051.554366184983,-7051.554366184983,-7051.554366184983,0.0,0.0,0.0,35984.30677265798
2015-11-30,43550.95031933729,78152.85849031221,96636.02319107576,43550.95031933729,43550.95031933729,43370.29323131299,43370.29323131299,43370.29323131299,43370.29323131299,43370.29323131299,43370.29323131299,0.0,0.0,0.0,86921.24355065028
2015-12-31,44269.85580919377,66244.56128240132,85449.82052481204,44269.85580919377,44269.85580919377,31650.695671698166,31650.695671698166,31650.695671698166,31650.695671698166,31650.695671698166,31650.695671698166,0.0,0.0,0.0,75920.55148089194
2016-01-31,44988.76129905025,14127.650630325228,32977.81163287659,44988.76129905025,44988.76129905025,-21823.472369096507,-21823.472369096507,-21823.472369096507,-21823.472369096507,-21823.472369096507,-21823.472369096507,0.0,0.0,0.0,23165.288929953746
2016-02-29,45661.75141525033,5170.316696768336,24884.92032205926,45661.75141525033,45661.75141525033,-30759.560693852593,-30759.560693852593,-30759.560693852593,-30759.560693852593,-30759.560693852593,-30759.560693852593,0.0,0.0,0.0,14902.190721397736
2016-03-31,46382.515884247776,42206.837813042635,60118.665415039686,46382.515884247776,46382.515884247776,5341.499616682238,5341.499616682238,5341.499616682238,5341.499616682238,5341.499616682238,5341.499616682238,0.0,0.0,0.0,51724.015500930014
2016-04-30,47080.02988650338,23482.19257791243,40990.882334852104,47080.02988650338,47080.02988650338,-14063.836656203435,-14063.836656203435,-14063.836656203435,-14063.836656203435,-14063.836656203435,-14063.836656203435,0.0,0.0,0.0,33016.19323029994
2016-05-31,47800.951512845364,40393.863632289635,59257.72978182505,47800.951512845364,47800.951512845364,2067.3201298161953,2067.3201298161953,2067.3201298161953,2067.3201298161953,2067.3201298161953,2067.3201298161953,0.0,0.0,0.0,49868.27164266156
2016-06-30,48498.663365626504,35305.08706445975,54159.495000855386,48498.663365626504,48498.663365626504,-4310.911036583955,-4310.911036583955,-4310.911036583955,-4310.911036583955,-4310.911036583955,-4310.911036583955,0.0,0.0,0.0,44187.752329042545
2016-07-31,49219.63228016701,30199.719077033093,48960.915516573885,49219.63228016701,49219.63228016701,-9931.910336534413,-9931.910336534413,-9931.910336534413,-9931.910336534413,-9931.910336534413,-9931.910336534413,0.0,0.0,0.0,39287.7219436326
2016-08-31,49941.29488008743,28430.783967103063,46968.664232798415,49941.29488008743,49941.29488008743,-12240.879472992594,-12240.879472992594,-12240.879472992594,-12240.879472992594,-12240.879472992594,-12240.879472992594,0.0,0.0,0.0,37700.415407094835
2016-09-30,50639.907150869934,66878.87337615831,85441.99859292075,50639.907150869934,50639.907150869934,25356.632967383906,25356.632967383906,25356.632967383906,25356.632967383906,25356.632967383906,25356.632967383906,0.0,0.0,0.0,75996.54011825385
2016-10-31,51361.80649734519,53343.336593917666,71886.48707588465,51361.80649734519,51361.80649734519,11594.151639793967,11594.151639793967,11594.151639793967,11594.151639793967,11594.151639793967,11594.151639793967,0.0,0.0,0.0,62955.958137139154
2016-11-30,52060.41876962378,78820.56003269993,97162.57906542174,52060.41876962378,52060.41876962378,36121.43118371413,36121.43118371413,36121.43118371413,36121.43118371413,36121.43118371413,36121.43118371413,0.0,0.0,0.0,88181.8499533379
2016-12-31,52782.31819644257,76257.26824165265,95199.70846935242,52782.31819644257,52782.31819644257,32825.74890800414,32825.74890800414,32825.74890800414,32825.74890800414,32825.74890800414,32825.74890800414,0.0,0.0,0.0,85608.0671044467
2017-01-31,53504.21762326134,29114.921031098103,47398.086933910614,53504.21762326134,53504.21762326134,-15292.967202893644,-15292.967202893644,-15292.967202893644,-15292.967202893644,-15292.967202893644,-15292.967202893644,0.0,0.0,0.0,38211.250420367694
2017-02-28,54156.25581803133,16108.147127009895,34085.40158797432,54156.25581803133,54156.25581803133,-28909.45355340667,-28909.45355340667,-28909.45355340667,-28909.45355340667,-28909.45355340667,-28909.45355340667,0.0,0.0,0.0,25246.802264624657
2017-03-31,54878.15524617175,52434.39546828115,70845.1413471767,54878.15524617175,54878.15524617175,6968.055868812754,6968.055868812754,6968.055868812754,6968.055868812754,6968.055868812754,6968.055868812754,0.0,0.0,0.0,61846.21111498451
2017-04-30,55576.76759598506,35205.16426336054,53860.193365194835,55576.76759598506,55576.76759598506,-11040.868607558175,-11040.868607558175,-11040.868607558175,-11040.868607558175,-11040.868607558175,-11040.868607558175,0.0,0.0,0.0,44535.89898842688
2017-05-31,56298.66702412548,44223.966099438985,62320.565317207955,56298.66702412548,56298.66702412548,-3228.783996272861,-3228.783996272861,-3228.783996272861,-3228.783996272861,-3228.783996272861,-3228.783996272861,0.0,0.0,0.0,53069.88302785262
2017-06-30,56997.27937393879,41295.43250482321,60025.142314913064,56997.27937393879,56997.27937393879,-6257.348578722279,-6257.348578722279,-6257.348578722279,-6257.348578722279,-6257.348578722279,-6257.348578722279,0.0,0.0,0.0,50739.93079521651
2017-07-31,57719.17880207922,38977.90110323745,57585.89724676511,57719.17880207922,57719.17880207922,-9475.939168268867,-9475.939168268867,-9475.939168268867,-9475.939168268867,-9475.939168268867,-9475.939168268867,0.0,0.0,0.0,48243.23963381036
2017-08-31,58441.07823021964,40194.207397469145,59421.864106835565,58441.07823021964,58441.07823021964,-8643.817769266938,-8643.817769266938,-8643.817769266938,-8643.817769266938,-8643.817769266938,-8643.817769266938,0.0,0.0,0.0,49797.260460952704
2017-09-30,59139.690580032955,78136.45095078155,97456.40312937272,59139.690580032955,59139.690580032955,28378.789814851614,28378.789814851614,28378.789814851614,28378.789814851614,28378.789814851614,28378.789814851614,0.0,0.0,0.0,87518.48039488457
2017-10-31,59861.59000817338,55135.36408215337,74004.07083660834,59861.59000817338,59861.59000817338,5409.624143602462,5409.624143602462,5409.624143602462,5409.624143602462,5409.624143602462,5409.624143602462,0.0,0.0,0.0,65271.21415177584
2017-11-30,60560.20235798669,90193.05500776156,108695.07565956502,60560.20235798669,60560.20235798669,38496.267124271835,38496.267124271835,38496.267124271835,38496.267124271835,38496.267124271835,38496.267124271835,0.0,0.0,0.0,99056.46948225852
2017-12-31,61282.1017861271,83413.60421374624,102240.67853675337,61282.1017861271,61282.1017861271,32474.812164724295,32474.812164724295,32474.812164724295,32474.812164724295,32474.812164724295,32474.812164724295,0.0,0.0,0.0,93756.91395085139
2018-01-31,62004.00121426753,35328.58878662199,53926.625234160965,62000.331979960974,62007.64681061602,-17512.895193639586,-17512.895193639586,-17512.895193639586,-17512.895193639586,-17512.895193639586,-17512.895193639586,0.0,0.0,0.0,44491.10602062795
2018-02-28,62656.03940742662,25874.12046108062,44785.46324113986,62644.10848026072,62668.63434739044,-26994.700230365586,-26994.700230365586,-26994.700230365586,-26994.700230365586,-26994.700230365586,-26994.700230365586,0.0,0.0,0.0,35661.33917706103
2018-03-31,63377.93883556705,62345.15490702722,81246.46478778425,63354.667044695314,63404.79644958861,8581.936343479903,8581.936343479903,8581.936343479903,8581.936343479903,8581.936343479903,8581.936343479903,0.0,0.0,0.0,71959.87517904695
2018-04-30,64076.551185380355,46343.86785418872,64985.2833576489,64038.03872811547,64118.86603957815,-8134.451140178147,-8134.451140178147,-8134.451140178147,-8134.451140178147,-8134.451140178147,-8134.451140178147,0.0,0.0,0.0,55942.100045202205
2018-05-31,64798.45061352078,47157.30428443297,66221.60046902484,64744.39048653638,64859.24789436112,-8605.35994507341,-8605.35994507341,-8605.35994507341,-8605.35994507341,-8605.35994507341,-8605.35994507341,0.0,0.0,0.0,56193.09066844737
2018-06-30,65497.062963334094,47717.59290811789,65943.01583757934,65423.80461408343,65577.0628487244,-8109.004659133178,-8109.004659133178,-8109.004659133178,-8109.004659133178,-8109.004659133178,-8109.004659133178,0.0,0.0,0.0,57388.05830420092
